R,lim,r,p,q,N,sigma_abs,r_sigma,c0,c1,c2,c3
44.8913,45.0,0.000000,0,0,0,0.000000,0.000000,0,0,0,0
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,0,-1440,-890,-1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,2330,-890,890,-2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-1440,1440,0,2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-2330,0,-1440,1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,1440,890,1440,0
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,0,550,340,550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,550,-550,0,-890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-890,340,-340,890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,890,0,550,-550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-550,-340,-550,0
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1100,340,890,-340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1440,-340,680,-1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1100,760,-210,1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-340,-760,-680,-550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-550,890,210,1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,340,-890,-340,-1100
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,550,680,760,340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1230,-680,340,-1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1230,-210,-890,550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1440,210,-760,1100
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1780,210,1230,-890
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1990,-210,1100,-1440
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1780,890,-550,1990
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-890,-890,-1100,-340
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-340,1230,550,1440
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,890,-1230,-210,-1780
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,340,1100,890,890
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1440,-1100,210,-1990
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1440,-550,-1230,340
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1990,550,-890,1780
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,2330,340,1650,-1100
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,2670,-340,1440,-1990
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-2330,1230,-680,2670
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-1100,-1230,-1440,-550
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-550,1650,680,1990
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,1100,-1650,-340,-2330
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,550,1440,1230,1100
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,1990,-1440,340,-2670
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-1990,-680,-1650,550
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-2670,680,-1230,2330
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,0,1780,1100,1780
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,1780,-1780,0,-2880
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,-2880,1100,-1100,2880
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,2880,0,1780,-1780
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,-1780,-1100,-1780,0
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,2540,680,1990,-890
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,3220,-680,1570,-2670
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-2540,1650,-550,3220
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-890,-1650,-1570,-1100
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-1100,1990,550,2670
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,890,-1990,-680,-2540
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,1100,1570,1650,890
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,2670,-1570,680,-3220
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-2670,-550,-1990,1100
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-3220,550,-1650,2540
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,2330,1100,2120,-340
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,3430,-1100,1440,-3220
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,-2330,1990,-210,3430
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,-340,-1990,-1440,-1780
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,-1780,2120,210,3220
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,340,-2120,-1100,-2330
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,1780,1440,1990,340
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,3220,-1440,1100,-3430
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,-3220,-210,-2120,1780
40.6982,45.0,461.673044,58911,95320,41,0.013869,6.403124,-3430,210,-1990,2330
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,3220,550,2330,-1440
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,3770,-550,1990,-2880
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,-3220,1780,-890,3770
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,-1440,-1780,-1990,-890
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,-890,2330,890,2880
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,1440,-2330,-550,-3220
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,890,1990,1780,1440
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,2880,-1990,550,-3770
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,-2880,-890,-2330,890
40.6982,45.0,496.957745,68260,110447,11,0.006674,3.316625,-3770,890,-1780,3220
37.8276,45.0,46.978714,610,987,1,0.021286,1.000000,0,-210,-130,-210
37.8276,45.0,46.978714,610,987,1,0.021286,1.000000,210,130,210,0
37.8276,45.0,46.978714,610,987,1,0.021286,1.000000,-340,0,-210,210
37.8276,45.0,46.978714,610,987,1,0.021286,1.000000,340,-130,130,-340
37.8276,45.0,46.978714,610,987,1,0.021286,1.000000,-210,210,0,340
6.5378,45.0,17.944272,89,144,1,0.055728,1.000000,130,0,80,-80
6.5378,45.0,17.944272,89,144,1,0.055728,1.000000,0,80,50,80
6.5378,45.0,17.944272,89,144,1,0.055728,1.000000,-130,50,-50,130
6.5378,45.0,17.944272,89,144,1,0.055728,1.000000,-80,-50,-80,0
6.5378,45.0,17.944272,89,144,1,0.055728,1.000000,80,-80,0,-130
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,80,100,110,50
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,160,50,130,-50
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,-210,30,-110,160
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,-180,-30,-130,80
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,50,-130,-50,-160
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,180,-100,50,-210
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,210,-50,100,-180
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,-160,110,-30,210
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,-80,130,30,180
6.5378,45.0,27.694506,212,343,11,0.119757,3.316625,-50,-110,-100,-80
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,260,-50,130,-210
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,-210,130,-50,260
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,210,-130,50,-260
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,210,50,160,-80
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,-210,-50,-160,80
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,80,130,130,80
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,-80,160,50,210
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,-80,-130,-130,-80
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,-260,50,-130,210
6.5378,45.0,34.132033,322,521,5,0.065512,2.236068,80,-160,-50,-210
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,210,-160,30,-290
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,-290,80,-130,260
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,-210,-80,-180,50
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,-130,-130,-160,-50
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,-260,130,-80,290
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,130,-180,-30,-260
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,50,160,130,130
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,260,30,180,-130
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,-50,180,80,210
6.5378,45.0,38.561543,411,665,11,0.086009,3.316625,290,-30,160,-210
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,-390,100,-180,340
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,390,-50,210,-290
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,-340,180,-100,390
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,80,210,180,160
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,-80,240,100,290
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,340,50,240,-160
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,160,-240,-50,-340
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,-290,-100,-240,80
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,290,-210,50,-390
6.5378,45.0,51.497459,733,1186,31,0.108117,5.567764,-160,-180,-210,-80
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,340,80,260,-130
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,420,-80,210,-340
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,130,210,210,130
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,-340,-80,-260,130
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,-130,260,80,340
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,-340,210,-80,420
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,130,-260,-80,-340
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,-130,-210,-210,-130
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,-420,80,-210,340
6.5378,45.0,55.226790,843,1364,5,0.040489,2.236068,340,-210,80,-420
6.5378,45.0,58.068884,932,1508,16,0.068884,4.000000,420,0,260,-260
6.5378,45.0,58.068884,932,1508,16,0.068884,4.000000,0,260,160,260
6.5378,45.0,58.068884,932,1508,16,0.068884,4.000000,-420,160,-160,420
6.5378,45.0,58.068884,932,1508,16,0.068884,4.000000,-260,-160,-260,0
6.5378,45.0,58.068884,932,1508,16,0.068884,4.000000,260,-260,0,-420
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,-370,240,-80,470
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,470,-100,230,-390
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,-390,-80,-290,160
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,-470,80,-240,370
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,390,-230,100,-470
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,370,100,290,-130
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,160,230,240,130
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,130,-290,-100,-370
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,-160,290,80,390
6.5378,45.0,61.781745,1055,1707,61,0.126417,7.810250,-130,-240,-230,-160
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,470,-180,180,-470
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,0,-290,-180,-290
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,-290,290,0,470
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,290,180,290,0
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,-470,0,-290,290
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,-470,180,-180,470
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,-290,-180,-290,0
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,470,0,290,-290
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,290,-290,0,-470
6.5378,45.0,64.922986,1165,1885,25,0.077014,5.000000,0,290,180,290
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,-260,310,30,470
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,-500,30,-290,340
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,-470,-30,-310,260
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,470,-210,160,-500
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,50,-310,-160,-340
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,-340,290,-30,500
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,500,-160,210,-470
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,260,210,290,50
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,340,160,310,-50
6.5378,45.0,67.357189,1254,2029,41,0.095062,6.403124,-50,-290,-210,-260
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,-470,260,-130,550
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,130,290,260,210
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,-420,-130,-340,130
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,550,-80,290,-420
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,-210,-260,-290,-130
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,470,80,340,-210
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,-550,130,-260,470
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,420,-290,80,-550
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,-130,340,130,420
6.5378,45.0,72.505158,1453,2351,11,0.045743,3.316625,210,-340,-80,-470
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,390,-310,50,-550
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,-260,-240,-310,-80
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,-500,240,-160,550
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,500,50,340,-260
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,260,-340,-50,-500
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,80,310,240,260
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,-550,160,-240,500
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,-80,340,160,390
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,550,-50,310,-390
6.5378,45.0,73.348414,1487,2406,55,0.101109,7.416198,-390,-160,-340,80
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,420,180,370,-80
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,600,-180,260,-550
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,-80,-340,-260,-290
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,550,-260,180,-600
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,-420,340,-50,600
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,-550,-50,-370,290
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,290,260,340,80
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,-290,370,50,550
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,-600,50,-340,420
6.5378,45.0,80.137342,1775,2872,41,0.079902,6.403124,80,-370,-180,-420
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,-630,110,-320,500
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,210,310,320,180
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,630,-130,310,-520
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,-520,-110,-390,210
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,520,-310,130,-630
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,-180,-320,-310,-210
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,-500,320,-110,630
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,180,-390,-130,-500
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,500,130,390,-180
6.5378,45.0,82.867258,1898,3071,121,0.132742,11.000000,-210,390,110,520
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-630,30,-370,420
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-340,390,30,600
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,600,-260,210,-630
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,50,-390,-210,-420
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-420,370,-30,630
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,340,260,370,50
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-50,-370,-260,-340
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,420,210,390,-50
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,630,-210,260,-600
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-600,-30,-390,340
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-630,210,-260,600
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,600,30,390,-340
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,50,370,260,340
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-50,390,210,420
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-340,-260,-370,-50
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-600,260,-210,630
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,340,-390,-30,-600
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,630,-30,370,-420
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,420,-370,30,-630
6.5378,45.0,85.234925,2008,3249,55,0.087009,7.416198,-420,-210,-390,50
6.5378,45.0,87.103326,2097,3393,81,0.103326,9.000000,-630,0,-390,390
6.5378,45.0,87.103326,2097,3393,81,0.103326,9.000000,390,240,390,0
6.5378,45.0,87.103326,2097,3393,81,0.103326,9.000000,-390,390,0,630
6.5378,45.0,87.103326,2097,3393,81,0.103326,9.000000,0,-390,-240,-390
6.5378,45.0,87.103326,2097,3393,81,0.103326,9.000000,630,-240,240,-630
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,680,-130,340,-550
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,550,130,420,-210
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,550,-340,130,-680
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,-680,130,-340,550
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,210,340,340,210
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,-550,340,-130,680
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,-210,-340,-340,-210
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,210,-420,-130,-550
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,-210,420,130,550
6.5378,45.0,89.358824,2207,3571,5,0.025023,2.236068,-550,-130,-420,210
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,-630,290,-210,680
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,680,-50,390,-470
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,470,-390,50,-680
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,-470,-210,-420,80
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,80,390,290,340
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,-680,210,-290,630
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,-340,-290,-390,-80
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,630,50,420,-340
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,340,-420,-50,-630
6.5378,45.0,91.142725,2296,3715,31,0.061088,5.567764,-80,420,210,470
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,710,-110,370,-550
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,600,110,440,-260
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,-600,340,-160,710
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,260,-440,-110,-600
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,-180,440,160,550
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,-260,-340,-370,-180
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,550,-370,110,-710
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,180,370,340,260
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,-710,160,-340,600
6.5378,45.0,93.552045,2419,3914,131,0.122344,11.445523,-550,-160,-440,180
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,-680,-80,-470,340
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,760,-210,340,-680
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,-760,80,-420,550
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,680,-340,210,-760
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,550,210,470,-130
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,130,-470,-210,-550
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,-340,470,80,680
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,-130,-420,-340,-340
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,-550,420,-80,760
6.5378,45.0,100.955430,2817,4558,11,0.032852,3.316625,340,340,420,130
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,-420,-310,-450,-50
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,-50,470,260,500
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,420,-470,-30,-730
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,-760,260,-310,730
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,760,-30,450,-500
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,730,30,470,-420
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,-730,310,-260,760
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,50,450,310,420
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,500,-450,30,-760
6.5378,45.0,103.135773,2940,4757,131,0.110975,11.445523,-500,-260,-470,50
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,-760,290,-290,760
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,760,0,470,-470
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,-470,-290,-470,0
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,470,-470,0,-760
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,0,470,290,470
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,0,-470,-290,-470
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,760,-290,290,-760
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,-470,470,0,760
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,-760,0,-470,470
6.5378,45.0,105.047597,3050,4935,25,0.047597,5.000000,470,290,470,0
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,-630,-180,-500,210
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,290,-500,-130,-680
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,-680,390,-180,810
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,-810,180,-390,680
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,680,130,500,-290
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,-210,500,180,630
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,-290,-390,-420,-210
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,630,-420,130,-810
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,810,-130,420,-630
6.5378,45.0,106.569201,3139,5079,61,0.073288,7.810250,210,420,390,290
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,840,-160,420,-680
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,-680,-160,-520,260
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,-260,-420,-420,-260
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,680,160,520,-260
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,-680,420,-160,840
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,680,-420,160,-840
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,260,-520,-160,-680
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,260,420,420,260
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,-840,160,-420,680
6.5378,45.0,110.453580,3372,5456,80,0.080978,8.944272,-260,520,160,680
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,760,80,520,-390
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-390,-370,-470,-130
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,840,-80,470,-600
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-600,-240,-520,130
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,130,470,370,390
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-760,370,-240,840
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-840,240,-370,760
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,600,-470,80,-840
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,390,-520,-80,-760
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-130,520,240,600
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,0,-500,-310,-500
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,810,-310,310,-810
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-500,500,0,810
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,-810,0,-500,500
6.5378,45.0,111.901699,3461,5600,121,0.098301,11.000000,500,310,500,0
